品目,産地,年,月,数量_kg,金額_円
ぼら,合計,2023,10,658,161918
ぼら,合計,2023,11,385,111438
ぼら,合計,2023,12,232,62629
ぼら,広島,2023,1,70,17382
ぼら,広島,2023,2,235,56647
ぼら,広島,2023,3,444,108383
ぼら,広島,2023,4,540,130796
ぼら,広島,2023,5,267,63381
ぼら,広島,2023,6,49,13423
ぼら,広島,2023,7,10,2533
ぼら,広島,2023,8,9,2322
ぼら,広島,2023,9,76,22896
ぼら,広島,2023,10,652,159812
ぼら,広島,2023,11,385,111438
ぼら,広島,2023,12,232,62629
ぼら,愛媛,2023,3,10,3256
ぼら,愛媛,2023,10,7,2106
たい,合計,2023,1,13344,16101638
たい,合計,2023,2,10140,12574563
たい,合計,2023,3,12558,14547327
たい,合計,2023,4,18074,16308840
たい,合計,2023,5,15908,16246266
たい,合計,2023,6,13394,13572720
たい,合計,2023,7,11739,12332863
たい,合計,2023,8,13831,16163818
たい,合計,2023,9,17356,15761803
たい,合計,2023,10,13575,14219363
たい,合計,2023,11,11768,13091158
たい,合計,2023,12,15117,16829552
たい,広島,2023,1,7372,8189820
たい,広島,2023,2,5464,6390806
たい,広島,2023,3,7316,7614796
たい,広島,2023,4,13622,10397513
たい,広島,2023,5,10675,9246679
たい,広島,2023,6,9117,7879754
たい,広島,2023,7,7393,6547754
たい,広島,2023,8,7805,8115623
たい,広島,2023,9,12439,9198011
たい,広島,2023,10,8710,7651070
たい,広島,2023,11,7041,6744653
たい,広島,2023,12,9283,8963027
たい,山口,2023,11,8,432
たい,愛媛,2023,1,5972,7911818
たい,愛媛,2023,2,4676,6183757
たい,愛媛,2023,3,5241,6932531
たい,愛媛,2023,4,4452,5911327
たい,愛媛,2023,5,5233,6999587
たい,愛媛,2023,6,4277,5692966
たい,愛媛,2023,7,4346,5785109
たい,愛媛,2023,8,6026,8048195
たい,愛媛,2023,9,4917,6563792
たい,愛媛,2023,10,4866,6568293
たい,愛媛,2023,11,4718,6346073
たい,愛媛,2023,12,5834,7866525
ちだい,合計,2023,1,216,70211
ちだい,合計,2023,2,417,137306
ちだい,合計,2023,3,505,176362
ちだい,合計,2023,4,641,203174
ちだい,合計,2023,5,842,265248
ちだい,合計,2023,6,363,145530
ちだい,合計,2023,7,255,96785
ちだい,合計,2023,8,322,133629
ちだい,合計,2023,9,568,156464
ちだい,合計,2023,10,1275,416807
ちだい,合計,2023,11,1897,554543
ちだい,合計,2023,12,1471,395602
ちだい,広島,2023,1,216,70211
ちだい,広島,2023,2,417,137306
ちだい,広島,2023,3,505,176362
ちだい,広島,2023,4,641,203174
ちだい,広島,2023,5,842,265248
ちだい,広島,2023,6,363,145530
ちだい,広島,2023,7,255,96785
ちだい,広島,2023,8,322,133629
ちだい,広島,2023,9,568,156464
ちだい,広島,2023,10,1275,416807
ちだい,広島,2023,11,1897,554543
ちだい,広島,2023,12,1471,395602
ちぬ,合計,2023,1,1035,382323
ちぬ,合計,2023,2,1918,786521
ちぬ,合計,2023,3,3082,1306140
ちぬ,合計,2023,4,3838,1493825
ちぬ,合計,2023,5,3294,1196587
ちぬ,合計,2023,6,1799,728632
ちぬ,合計,2023,7,817,379666
ちぬ,合計,2023,8,817,412740
ちぬ,合計,2023,9,1141,540068
ちぬ,合計,2023,10,1502,686862
ちぬ,合計,2023,11,1082,574107
ちぬ,合計,2023,12,999,505817
ちぬ,広島,2023,1,1011,368229
ちぬ,広島,2023,2,1915,784852
ちぬ,広島,2023,3,3071,1299401
ちぬ,広島,2023,4,3809,1476773
ちぬ,広島,2023,5,3279,1189723
ちぬ,広島,2023,6,1799,728632
ちぬ,広島,2023,7,797,369108
ちぬ,広島,2023,8,817,412740
ちぬ,広島,2023,9,1117,529560
ちぬ,広島,2023,10,1502,686862
ちぬ,広島,2023,11,1051,558349
ちぬ,広島,2023,12,997,504543
ちぬ,愛媛,2023,1,25,14094
ちぬ,愛媛,2023,2,3,1669
ちぬ,愛媛,2023,3,11,6739
ちぬ,愛媛,2023,4,29,17052
ちぬ,愛媛,2023,5,15,6864
ちぬ,愛媛,2023,7,20,10558
ちぬ,愛媛,2023,9,24,10508
ちぬ,愛媛,2023,11,31,15758
ちぬ,愛媛,2023,12,2,1274
れんこ,合計,2023,1,84,49629
れんこ,合計,2023,2,110,65610
れんこ,合計,2023,3,175,93699
れんこ,合計,2023,4,146,93798
れんこ,合計,2023,5,152,86359
れんこ,合計,2023,6,98,50582
れんこ,合計,2023,7,196,112996
れんこ,合計,2023,8,144,78973
れんこ,合計,2023,9,299,159498
れんこ,合計,2023,10,336,135534
れんこ,合計,2023,11,161,85973
れんこ,合計,2023,12,182,97643
れんこ,広島,2023,1,84,49629
れんこ,広島,2023,2,110,65610
れんこ,広島,2023,3,175,93699
れんこ,広島,2023,4,146,93798
れんこ,広島,2023,5,152,86359
れんこ,広島,2023,6,98,50582
れんこ,広島,2023,7,196,112996
れんこ,広島,2023,8,144,78973
れんこ,広島,2023,9,299,159498
れんこ,広島,2023,10,336,135534
れんこ,広島,2023,11,161,85973
れんこ,広島,2023,12,182,97643
めんたい,合計,2023,1,1236,1419481
めんたい,合計,2023,2,988,1256353
めんたい,合計,2023,3,937,1052335
めんたい,合計,2023,4,727,757202
めんたい,合計,2023,5,826,967498
めんたい,合計,2023,6,663,719233
めんたい,合計,2023,7,370,348059
めんたい,合計,2023,8,577,728862
めんたい,合計,2023,9,780,875767
めんたい,合計,2023,10,936,888829
めんたい,合計,2023,11,925,1061521
めんたい,合計,2023,12,989,1151510
めんたい,広島,2023,1,1236,1419481
めんたい,広島,2023,2,988,1256353
めんたい,広島,2023,3,937,1052335
めんたい,広島,2023,4,727,757202
めんたい,広島,2023,5,826,967498
めんたい,広島,2023,6,663,719233
めんたい,広島,2023,7,370,348059
めんたい,広島,2023,8,577,728862
めんたい,広島,2023,9,780,875767
めんたい,広島,2023,10,936,888829
めんたい,広島,2023,11,925,1061521
めんたい,広島,2023,12,989,1151510
すずき,合計,2023,1,1129,585264
すずき,合計,2023,2,687,387609
すずき,合計,2023,3,1033,677175
すずき,合計,2023,4,1690,1081381
すずき,合計,2023,5,823,563676
すずき,合計,2023,6,908,687365
すずき,合計,2023,7,1620,1069146
すずき,合計,2023,8,711,538367
すずき,合計,2023,9,1041,785501
すずき,合計,2023,10,760,533817
すずき,合計,2023,11,767,511866
